ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
8724248927,2022-04-26,2022-05-10,,2022-04-26,2022-04-26,344,Postponed,2,Italy,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,344,5,small (2-5)
8725424766,2022-04-26,2022-05-11,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8735373104,2022-04-27,2022-05-20,,2022-05-03,2022-05-03,936,No Interest,2,Brazil,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-05-01,936,3,small (2-5)
8735811254,2022-04-27,2022-05-18,,2022-05-05,2022-05-05,245,Insufficient Funds,1,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-05-01,245,4,small (2-5)
8735836461,2022-04-27,2022-05-20,,2022-04-29,2022-04-29,286,Abandoned,1,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,286,3,small (2-5)
8735916922,2022-04-27,2022-05-24,2022-05-10,2022-05-04,2022-05-04,166,,2,Spain,3,Closed won,,1,1,1,1,1,0,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,2022-05-01,,2022-05-01,166,3,small (2-5)
8736741898,2022-04-27,2022-07-26,,2022-05-04,2022-05-04,936,,2,Brazil,3,Proposal Sent [closure],,1,1,1,0,0,0,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-07-01,936,3,small (2-5)
8737300300,2022-04-27,,,,,,,,Colombia,1,Initial contact,,1,0,0,0,0,0,,0,0,0,2022-04-01,,,,,,,1,small (2-5)
8712915058,2022-04-25,2022-05-11,2022-05-03,2022-04-27,2022-04-27,1.533,,3,Brazil,6,Closed won,2022-05-10,1,1,1,1,1,0,medium (6-10),0,0,1,2022-04-01,2022-04-01,2022-04-01,2022-05-01,2022-05-01,2022-05-01,1.533,6,medium (6-10)
8720602704,2022-04-26,2022-05-10,,,,,[CA] Fit for another Doctoralia product,,Spain,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-05-01,,,
8724287143,2022-04-26,2022-06-14,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-06-01,,,
8725296500,2022-04-26,2022-06-22,,,,,Abandoned,,Brazil,,Closed lost [set-lost],,1,0,0,0,0,1,,1,0,0,2022-04-01,,,,,2022-06-01,,,
8725448117,2022-04-26,2022-05-30,,2022-05-25,,2.532,Insufficient Funds,1,Brazil,17,Closed lost [set-lost],,1,1,0,0,0,1,big (16-20),0,1,0,2022-04-01,2022-05-01,,,,2022-05-01,2.532,17,big (16-20)
8726839404,2022-04-26,2022-05-04,2022-04-27,2022-04-27,2022-04-27,2.022,,3,Brazil,17,Closed won,2022-04-30,1,1,1,1,1,0,big (16-20),0,0,1,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,2022-05-01,2.022,17,big (16-20)
